Id|Name|OwnerEmailAddress|Status|ImagePath
--|----|-----------------|------|---------
1|Trattoria Luca|luca.owner@example.com|Approved|NULL
2|Sushi Wave|hana.owner@example.com|Approved|NULL
3|Trattoria Luca|luca.owner@example.com|Approved|NULL
4|Sushi Wave|hana.owner@example.com|Approved|NULL
5|Trattoria Luca|luca.owner@example.com|Approved|/uploads/db0716c9-ebad-43f2-b0d5-9b4ae0a23dee.png
6|Sushi Wave|hana.owner@example.com|Approved|/uploads/b1ee78f9-29e4-4cc0-9cc1-d18d6d7f7470.png
7|The Burger House|burger.owner@example.com|Approved|/uploads/89b6c430-bfb5-439c-8188-14643176adcd.png

(7 rows affected)
